common	rareT1	rareT2	ncommon	nrareT1	nrareT2
Biliary	GEL-Biliary_common_SBS18,GEL-Biliary_common_SBS1,GEL-Biliary_common_SBS110,GEL-Biliary_common_SBS13,GEL-Biliary_common_SBS5,GEL-Biliary_common_SBS2,GEL-Biliary_common_SBS17	SBS3,SBS6,SBS8,SBS22,SBS24,SBS28,SBS31,SBS32,SBS35,SBS44,SBS88,SBS118	SBS3,SBS6,SBS8,SBS22,SBS24,SBS28,SBS31,SBS32,SBS35,SBS44,SBS88,SBS118,SBS4,SBS7a,SBS7c,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS23,SBS26,SBS30,SBS33,SBS38,SBS57,SBS90,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS108,SBS111,SBS112,SBS113,SBS115,SBS116,SBS117,SBS119,SBS121,SBS123,SBS124,SBS126,SBS128,SBS129	7	12	54
Bladder	GEL-Bladder_common_SBS13,GEL-Bladder_common_SBS17,GEL-Bladder_common_SBS92+100,GEL-Bladder_common_SBS1,GEL-Bladder_common_SBS2,GEL-Bladder_common_SBS2+13+107,GEL-Bladder_common_SBS92	SBS4,SBS6,SBS15,SBS18,SBS20,SBS23,SBS31,SBS33,SBS44,SBS57,SBS88,SBS94,SBS104,SBS105,SBS109,SBS125	SBS4,SBS6,SBS15,SBS18,SBS20,SBS23,SBS31,SBS33,SBS44,SBS57,SBS88,SBS94,SBS104,SBS105,SBS109,SBS125,SBS3,SBS5,SBS7a,SBS7c,SBS8,SBS10a,SBS10d,SBS11,SBS14,SBS22,SBS24,SBS26,SBS28,SBS30,SBS32,SBS35,SBS38,SBS90,SBS93,SBS95,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS106,SBS108,SBS111,SBS112,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS121,SBS123,SBS124,SBS126,SBS128,SBS129	7	16	58
Bone_SoftTissue	GEL-Bone_SoftTissue_common_SBS127,GEL-Bone_SoftTissue_common_SBS8,GEL-Bone_SoftTissue_common_SBS122,GEL-Bone_SoftTissue_common_SBS1,GEL-Bone_SoftTissue_common_SBS100,GEL-Bone_SoftTissue_common_SBS5,GEL-Bone_SoftTissue_common_SBS18,GEL-Bone_SoftTissue_common_SBS13,GEL-Bone_SoftTissue_common_SBS3,GEL-Bone_SoftTissue_common_SBS17	SBS2,SBS7a,SBS11,SBS26,SBS30,SBS31,SBS44,SBS57,SBS93,SBS96,SBS108,SBS117,SBS121,SBS124,SBS129	SBS2,SBS7a,SBS11,SBS26,SBS30,SBS31,SBS44,SBS57,SBS93,SBS96,SBS108,SBS117,SBS121,SBS124,SBS129,SBS4,SBS6,SBS7c,SBS10a,SBS10d,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS28,SBS32,SBS33,SBS35,SBS38,SBS88,SBS90,SBS94,SBS95,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS111,SBS112,SBS113,SBS115,SBS116,SBS118,SBS119,SBS123,SBS126,SBS128	10	15	53
Breast	GEL-Breast_common_SBS13,GEL-Breast_common_SBS5,GEL-Breast_common_SBS8,GEL-Breast_common_SBS2,GEL-Breast_common_SBS3,GEL-Breast_common_SBS18,GEL-Breast_common_SBS1,GEL-Breast_common_SBS127,GEL-Breast_common_SBS17	SBS4,SBS6,SBS7a,SBS10d,SBS23,SBS26,SBS30,SBS31,SBS33,SBS44,SBS57,SBS87,SBS90,SBS94,SBS96,SBS97,SBS105,SBS106,SBS114,SBS116,SBS119,SBS123,SBS124	SBS4,SBS6,SBS7a,SBS10d,SBS23,SBS26,SBS30,SBS31,SBS33,SBS44,SBS57,SBS87,SBS90,SBS94,SBS96,SBS97,SBS105,SBS106,SBS114,SBS116,SBS119,SBS123,SBS124,SBS7c,SBS10a,SBS11,SBS14,SBS15,SBS20,SBS22,SBS24,SBS28,SBS32,SBS35,SBS38,SBS88,SBS93,SBS95,SBS98,SBS99,SBS102,SBS103,SBS104,SBS108,SBS111,SBS112,SBS113,SBS115,SBS117,SBS118,SBS121,SBS126,SBS128,SBS129	9	23	54
CNS	GEL-CNS_common_SBS5,GEL-CNS_common_SBS8,GEL-CNS_common_SBS120,GEL-CNS_common_SBS3,GEL-CNS_common_SBS1	SBS2,SBS4,SBS6,SBS7a,SBS11,SBS13,SBS14,SBS17,SBS18,SBS23,SBS26,SBS35,SBS97,SBS113,SBS119,SBS121,SBS126,SBS137	SBS2,SBS4,SBS6,SBS7a,SBS11,SBS13,SBS14,SBS17,SBS18,SBS23,SBS26,SBS35,SBS97,SBS113,SBS119,SBS121,SBS126,SBS137,SBS7c,SBS10a,SBS10d,SBS15,SBS20,SBS22,SBS24,SBS28,SBS30,SBS31,SBS32,SBS33,SBS38,SBS44,SBS57,SBS88,SBS90,SBS93,SBS94,SBS95,SBS96,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS108,SBS111,SBS112,SBS115,SBS116,SBS117,SBS118,SBS123,SBS124,SBS128,SBS129	5	18	57
Colorectal	GEL-Colorectal_common_SBS17,GEL-Colorectal_common_SBS18,GEL-Colorectal_common_SBS93+121,GEL-Colorectal_common_SBS1,GEL-Colorectal_common_SBS88,GEL-Colorectal_common_SBS3+8,GEL-Colorectal_common_SBS2	SBS4,SBS5,SBS6,SBS10a,SBS10d,SBS13,SBS14,SBS15,SBS22,SBS26,SBS30,SBS32,SBS33,SBS35,SBS44,SBS84,SBS94,SBS97,SBS108,SBS112,SBS113,SBS124,SBS128,SBS134	SBS4,SBS5,SBS6,SBS10a,SBS10d,SBS13,SBS14,SBS15,SBS22,SBS26,SBS30,SBS32,SBS33,SBS35,SBS44,SBS84,SBS94,SBS97,SBS108,SBS112,SBS113,SBS124,SBS128,SBS134,SBS7a,SBS7c,SBS11,SBS20,SBS23,SBS24,SBS28,SBS31,SBS38,SBS57,SBS90,SBS95,SBS96,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS111,SBS115,SBS116,SBS117,SBS118,SBS119,SBS123,SBS126,SBS129	7	24	53
Esophagus	ICGC-Esophagus_common_SBS2+13,ICGC-Esophagus_common_SBS28,ICGC-Esophagus_common_SBS93,ICGC-Esophagus_common_SBS18,ICGC-Esophagus_common_SBS17_a,ICGC-Esophagus_common_SBS100,ICGC-Esophagus_common_SBS1,ICGC-Esophagus_common_SBS17_b,ICGC-Esophagus_common_SBS3+8	SBS4,SBS44,SBS90,SBS112,SBS127	SBS4,SBS44,SBS90,SBS112,SBS127,SBS5,SBS6,SBS7a,SBS7c,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS26,SBS30,SBS31,SBS32,SBS33,SBS35,SBS38,SBS57,SBS88,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS108,SBS111,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS121,SBS123,SBS124,SBS126,SBS128,SBS129	9	5	52
Head_neck	ICGC-Head_neck_common_SBS1,ICGC-Head_neck_common_SBS18,ICGC-Head_neck_common_SBS17+18+100,ICGC-Head_neck_common_SBS2,ICGC-Head_neck_common_SBS3+8,ICGC-Head_neck_common_SBS127,ICGC-Head_neck_common_SBS13,ICGC-Head_neck_common_SBS3+16	SBS4,SBS31,SBS33,SBS44,SBS88,SBS95,SBS104,SBS111,SBS112,SBS121,SBS125	SBS4,SBS31,SBS33,SBS44,SBS88,SBS95,SBS104,SBS111,SBS112,SBS121,SBS125,SBS5,SBS6,SBS7a,SBS7c,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS26,SBS28,SBS30,SBS32,SBS35,SBS38,SBS57,SBS90,SBS93,SBS94,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS105,SBS106,SBS108,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS123,SBS124,SBS126,SBS128,SBS129	8	11	54
Kidney	GEL-Kidney_common_SBS13,GEL-Kidney_common_SBS5,GEL-Kidney_common_SBS1,GEL-Kidney_common_SBS125,GEL-Kidney_common_SBS107	SBS2,SBS3,SBS6,SBS17,SBS18,SBS22,SBS26,SBS31,SBS44,SBS57,SBS90,SBS100,SBS108,SBS117,SBS121,SBS126,SBS127,SBS138,SBS141	SBS2,SBS3,SBS6,SBS17,SBS18,SBS22,SBS26,SBS31,SBS44,SBS57,SBS90,SBS100,SBS108,SBS117,SBS121,SBS126,SBS127,SBS138,SBS141,SBS4,SBS7a,SBS7c,SBS8,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS23,SBS24,SBS28,SBS30,SBS32,SBS33,SBS35,SBS38,SBS88,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS111,SBS112,SBS113,SBS115,SBS116,SBS118,SBS119,SBS123,SBS124,SBS128,SBS129	5	19	61
Liver	GEL-Liver_common_SBS5_a,GEL-Liver_common_SBS4,GEL-Liver_common_SBS92,GEL-Liver_common_SBS5_b,GEL-Liver_common_SBS110	SBS1,SBS2,SBS3,SBS6,SBS8,SBS12,SBS13,SBS16,SBS18,SBS19,SBS22,SBS23,SBS24,SBS28,SBS30,SBS31,SBS35,SBS102,SBS103,SBS107,SBS118	SBS1,SBS2,SBS3,SBS6,SBS8,SBS12,SBS13,SBS16,SBS18,SBS19,SBS22,SBS23,SBS24,SBS28,SBS30,SBS31,SBS35,SBS102,SBS103,SBS107,SBS118,SBS7a,SBS7c,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS17,SBS20,SBS26,SBS32,SBS33,SBS38,SBS44,SBS57,SBS88,SBS90,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS104,SBS105,SBS106,SBS108,SBS111,SBS112,SBS113,SBS115,SBS116,SBS117,SBS119,SBS121,SBS123,SBS124,SBS126,SBS128,SBS129	5	21	62
Lung	GEL-Lung_common_SBS4_a,GEL-Lung_common_SBS2,GEL-Lung_common_SBS3+8,GEL-Lung_common_SBS92,GEL-Lung_common_SBS17,GEL-Lung_common_SBS13,GEL-Lung_common_SBS1+5,GEL-Lung_common_SBS4_b	SBS7a,SBS18,SBS28,SBS31,SBS33,SBS35,SBS38,SBS44,SBS113	SBS7a,SBS18,SBS28,SBS31,SBS33,SBS35,SBS38,SBS44,SBS113,SBS6,SBS7c,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS26,SBS30,SBS32,SBS57,SBS88,SBS90,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS108,SBS111,SBS112,SBS115,SBS116,SBS117,SBS118,SBS119,SBS121,SBS123,SBS124,SBS126,SBS128,SBS129	8	9	52
Lymphoid	GEL-Lymphoid_common_SBS1,GEL-Lymphoid_common_SBS5_a,GEL-Lymphoid_common_SBS18,GEL-Lymphoid_common_SBS9,GEL-Lymphoid_common_SBS127,GEL-Lymphoid_common_SBS101,GEL-Lymphoid_common_SBS5_b,GEL-Lymphoid_common_SBS5+8,GEL-Lymphoid_common_SBS17	SBS3,SBS7a,SBS95,SBS100,SBS124,SBS169	SBS3,SBS7a,SBS95,SBS100,SBS124,SBS169,SBS2,SBS4,SBS6,SBS7c,SBS10a,SBS10d,SBS11,SBS13,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS26,SBS28,SBS30,SBS31,SBS32,SBS33,SBS35,SBS38,SBS44,SBS57,SBS88,SBS90,SBS93,SBS94,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS108,SBS111,SBS112,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS121,SBS123,SBS126,SBS128,SBS129	9	6	57
Myeloid	GEL-Myeloid_common_SBS5_a,GEL-Myeloid_common_SBS1,GEL-Myeloid_common_SBS17,GEL-Myeloid_common_SBS18,GEL-Myeloid_common_SBS100,GEL-Myeloid_common_SBS8,GEL-Myeloid_common_SBS124,GEL-Myeloid_common_SBS5_b,GEL-Myeloid_common_SBS2+13,GEL-Myeloid_common_SBS9	SBS31,SBS57	SBS31,SBS57,SBS3,SBS4,SBS6,SBS7a,SBS7c,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS26,SBS28,SBS30,SBS32,SBS33,SBS35,SBS38,SBS44,SBS88,SBS90,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS108,SBS111,SBS112,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS121,SBS123,SBS126,SBS128,SBS129	10	2	52
NET	GEL-NET_common_SBS3+8,GEL-NET_common_SBS4_a,GEL-NET_common_SBS4_b,GEL-NET_common_SBS92,GEL-NET_common_SBS2+13,GEL-NET_common_SBS17,GEL-NET_common_SBS1,GEL-NET_common_SBS5	SBS6,SBS7a,SBS11,SBS18,SBS23,SBS44,SBS57,SBS93,SBS100,SBS121,SBS123	SBS6,SBS7a,SBS11,SBS18,SBS23,SBS44,SBS57,SBS93,SBS100,SBS121,SBS123,SBS7c,SBS10a,SBS10d,SBS14,SBS15,SBS20,SBS22,SBS24,SBS26,SBS28,SBS30,SBS31,SBS32,SBS33,SBS35,SBS38,SBS88,SBS90,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS108,SBS111,SBS112,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS124,SBS126,SBS128,SBS129	8	11	53
Oral_Oropharyngeal	GEL-Oral_Oropharyngeal_common_SBS2,GEL-Oral_Oropharyngeal_common_SBS3+16,GEL-Oral_Oropharyngeal_common_SBS17,GEL-Oral_Oropharyngeal_common_SBS1,GEL-Oral_Oropharyngeal_common_SBS13,GEL-Oral_Oropharyngeal_common_SBS127,GEL-Oral_Oropharyngeal_common_SBS18	SBS4,SBS7a,SBS10a,SBS31,SBS33,SBS93,SBS121	SBS4,SBS7a,SBS10a,SBS31,SBS33,SBS93,SBS121,SBS5,SBS6,SBS7c,SBS8,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS26,SBS28,SBS30,SBS32,SBS35,SBS38,SBS44,SBS57,SBS88,SBS90,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS108,SBS111,SBS112,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS123,SBS124,SBS126,SBS128,SBS129	7	7	54
Ovary	GEL-Ovary_common_SBS8,GEL-Ovary_common_SBS3,GEL-Ovary_common_SBS17,GEL-Ovary_common_SBS5,GEL-Ovary_common_SBS1+18,GEL-Ovary_common_SBS13	SBS2,SBS6,SBS10a,SBS14,SBS26,SBS30,SBS31,SBS35,SBS44,SBS57,SBS103,SBS111,SBS116	SBS2,SBS6,SBS10a,SBS14,SBS26,SBS30,SBS31,SBS35,SBS44,SBS57,SBS103,SBS111,SBS116,SBS4,SBS7a,SBS7c,SBS10d,SBS11,SBS15,SBS20,SBS22,SBS23,SBS24,SBS28,SBS32,SBS33,SBS38,SBS88,SBS90,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS102,SBS104,SBS105,SBS106,SBS108,SBS112,SBS113,SBS115,SBS117,SBS118,SBS119,SBS121,SBS123,SBS124,SBS126,SBS128,SBS129	6	13	53
Pancreas	GEL-Pancreas_common_SBS1,GEL-Pancreas_common_SBS18,GEL-Pancreas_common_SBS5,GEL-Pancreas_common_SBS17,GEL-Pancreas_common_SBS1+5+18,GEL-Pancreas_common_SBS3+8,GEL-Pancreas_common_SBS2+13	SBS6,SBS26,SBS28,SBS31,SBS44,SBS57,SBS98,SBS100,SBS108,SBS127	SBS6,SBS26,SBS28,SBS31,SBS44,SBS57,SBS98,SBS100,SBS108,SBS127,SBS4,SBS7a,SBS7c,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS30,SBS32,SBS33,SBS35,SBS38,SBS88,SBS90,SBS93,SBS94,SBS95,SBS96,SBS97,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS111,SBS112,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS121,SBS123,SBS124,SBS126,SBS128,SBS129	7	10	54
Prostate	GEL-Prostate_common_SBS2+13+92,GEL-Prostate_common_SBS17,GEL-Prostate_common_SBS1,GEL-Prostate_common_SBS5,GEL-Prostate_common_SBS18,GEL-Prostate_common_SBS3+8	SBS4,SBS6,SBS32,SBS33,SBS35,SBS44,SBS57,SBS93,SBS97,SBS116,SBS121	SBS4,SBS6,SBS32,SBS33,SBS35,SBS44,SBS57,SBS93,SBS97,SBS116,SBS121,SBS7a,SBS7c,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS26,SBS28,SBS30,SBS31,SBS38,SBS88,SBS90,SBS94,SBS95,SBS96,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS108,SBS111,SBS112,SBS113,SBS115,SBS117,SBS118,SBS119,SBS123,SBS124,SBS126,SBS128,SBS129	6	11	52
Skin	GEL-Skin_common_SBS13,GEL-Skin_common_SBS1+5+18,GEL-Skin_common_SBS17,GEL-Skin_common_SBS7a,GEL-Skin_common_SBS38	SBS2,SBS3,SBS4,SBS6,SBS7c,SBS8,SBS23,SBS32,SBS33,SBS96,SBS99,SBS106,SBS112,SBS115,SBS124,SBS125,SBS129	SBS2,SBS3,SBS4,SBS6,SBS7c,SBS8,SBS23,SBS32,SBS33,SBS96,SBS99,SBS106,SBS112,SBS115,SBS124,SBS125,SBS129,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS22,SBS24,SBS26,SBS28,SBS30,SBS31,SBS35,SBS44,SBS57,SBS88,SBS90,SBS93,SBS94,SBS95,SBS97,SBS98,SBS102,SBS103,SBS104,SBS105,SBS108,SBS111,SBS113,SBS116,SBS117,SBS118,SBS119,SBS121,SBS123,SBS126,SBS128	5	17	54
Stomach	GEL-Stomach_common_SBS93+121,GEL-Stomach_common_SBS17,GEL-Stomach_common_SBS13,GEL-Stomach_common_SBS5,GEL-Stomach_common_SBS3+8,GEL-Stomach_common_SBS18+100,GEL-Stomach_common_SBS18,GEL-Stomach_common_SBS1	SBS2,SBS26,SBS31,SBS44,SBS95,SBS106,SBS112	SBS2,SBS26,SBS31,SBS44,SBS95,SBS106,SBS112,SBS4,SBS6,SBS7a,SBS7c,SBS10a,SBS10d,SBS11,SBS14,SBS15,SBS20,SBS22,SBS23,SBS24,SBS28,SBS30,SBS32,SBS33,SBS35,SBS38,SBS57,SBS88,SBS90,SBS94,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS108,SBS111,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS123,SBS124,SBS126,SBS128,SBS129	8	7	51
Uterus	GEL-Uterus_common_SBS17,GEL-Uterus_common_SBS3+8,GEL-Uterus_common_SBS1,GEL-Uterus_common_SBS18,GEL-Uterus_common_SBS13,GEL-Uterus_common_SBS2	SBS5,SBS9,SBS10a,SBS10d,SBS14,SBS20,SBS26,SBS31,SBS44,SBS108,SBS111	SBS5,SBS9,SBS10a,SBS10d,SBS14,SBS20,SBS26,SBS31,SBS44,SBS108,SBS111,SBS4,SBS6,SBS7a,SBS7c,SBS11,SBS15,SBS22,SBS23,SBS24,SBS28,SBS30,SBS32,SBS33,SBS35,SBS38,SBS57,SBS88,SBS90,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99,SBS102,SBS103,SBS104,SBS105,SBS106,SBS112,SBS113,SBS115,SBS116,SBS117,SBS118,SBS119,SBS121,SBS123,SBS124,SBS126,SBS128,SBS129	6	11	54
