RefSigR2	RefSigR4	RefSigR6a	RefSigR1	RefSigR7	RefSigR5	RefSigR6b	RefSigR8	RefSigR3	RefSigR9	RefSigR10	RefSigR11	RefSigR12	RefSigR13	RefSigR14	RefSigR15	RefSigR16	RefSigR17	RefSigR18	RefSigR19	RefSigR20
clustered_del_1-10Kb	0.001567159	0.007628322	0.004381155	0.001223105	0.003694462	0.006879448	0.011425011	0.000288801	0.000174796	0.004578525	0.001568886	3.00E-20	0.026372342	0.03648546	6.97E-20	2.33E-16	0.015463046	0.00163448	0.019333071	0.008886469	0.01939619
clustered_del_10-100Kb	0.001471896	0.004711254	0.005842322	0.002266545	0.015109229	0.00475864	0.019443316	0.000431759	0.002658309	0.001397877	0.00376418	3.00E-20	0.014028983	0.016376958	0.00269005	0.003570212	0.006810828	1.87E-19	0.020126407	0.014317864	0.049973373
clustered_del_100Kb-1Mb	0.00208301	0.008922722	0.012343086	0.003002204	0.031177283	0.00118496	0.047902082	0.000451848	0.002689439	5.71E-20	0.005433341	3.00E-20	0.058624718	0.065129123	0.000869118	3.86E-20	0.025633618	0.029002844	0.029369941	0.023736167	0.126992555
clustered_del_1Mb-10Mb	0.000367765	0.022058664	0.042638521	0.000458883	6.75E-20	0.000394507	0.118162313	8.76E-13	4.85E-20	5.71E-20	0.00731593	0.009899429	0.066142869	0.020702163	0.002332023	3.86E-20	0.049750669	1.87E-19	0.008917663	0.010062706	0.024083135
clustered_del_>10Mb	0.000643758	0.009323692	0.14521856	5.59E-05	0.000689294	0.000668064	0.005835798	0.000415425	4.85E-20	5.71E-20	0.002926372	0.00326064	8.65E-20	1.29E-05	6.97E-20	3.86E-20	0.030253785	0.030488442	0.002900056	0.012382721	1.54E-19
clustered_tds_1-10Kb	3.75E-05	0.003136015	0.0024302	0.002208152	0.001208774	0.000526459	0.007398411	0.000778358	0.000808949	2.43E-05	0.004901891	0.003281168	0.00206428	4.44E-20	6.97E-20	3.86E-20	3.51E-15	0.007301037	6.82E-20	0.011076878	0.018299254
clustered_tds_10-100Kb	0.000710596	0.006880208	0.002914075	0.00628938	0.002903183	0.004054854	0.00753656	0.000537533	0.005887643	5.71E-20	0.004187741	4.94E-13	0.014243961	4.44E-20	0.002235943	0.002641809	0.016807659	1.87E-19	0.008518834	0.01531701	0.01749794
clustered_tds_100Kb-1Mb	0.000830272	0.010882614	0.006877399	0.012178037	0.00197958	0.001119317	0.037160808	0.00109126	0.000485145	0.000264955	0.001908603	4.16E-14	0.064477361	0.007502147	0.003073972	3.86E-20	0.024203028	0.00228324	0.033927044	0.045064426	0.124406364
clustered_tds_1Mb-10Mb	0.000621669	0.020019357	0.043490224	0.000634189	0.000968364	7.01E-20	0.126556606	5.78E-20	0.000370137	0.001533737	0.009266845	0.007949062	0.055007334	4.44E-20	0.001037148	3.86E-20	0.036304542	0.042526826	0.020903352	0.011604348	0.028736691
clustered_tds_>10Mb	5.83E-20	0.007735317	0.149748951	0.000156747	6.75E-20	7.01E-20	0.006851506	5.78E-20	4.85E-20	5.71E-20	0.002926372	3.00E-20	8.65E-20	4.44E-20	6.97E-20	3.86E-20	0.020841497	1.87E-19	6.82E-20	0.017323331	1.54E-19
clustered_inv_1-10Kb	0.003359224	0.013653318	0.011227758	0.003033044	0.00425424	0.008727811	0.040861749	0.007800608	4.85E-20	0.002096731	0.002367858	0.007623122	0.097505609	0.197398776	6.97E-20	0.005524662	0.075023044	0.040731535	0.076888711	0.042235057	0.037382496
clustered_inv_10-100Kb	0.001889627	0.014271561	0.005301825	0.002763701	0.002271653	0.000608981	0.026584682	0.000495268	0.000292001	0.001024877	0.002178143	3.00E-20	0.050384598	0.07409019	6.97E-20	0.003886918	0.030253785	0.012931195	0.027408374	0.035340515	0.054028577
clustered_inv_100Kb-1Mb	0.000500109	0.018001317	0.014929333	0.001991098	0.003304986	0.000162039	0.080048875	0.00079444	4.85E-20	5.71E-20	0.005990998	0.002165802	0.114991189	0.053636198	6.97E-20	3.86E-20	0.050422976	0.020152668	0.035353716	0.060667141	0.220424315
clustered_inv_1Mb-10Mb	0.001078703	0.039613402	0.079424379	4.63E-20	6.75E-20	0.001006563	0.249040018	5.78E-20	4.85E-20	0.000455905	0.015607317	0.010172677	0.124870561	4.44E-20	0.001072656	3.86E-20	0.071936778	0.028128455	0.016139203	0.033853443	0.03080089
clustered_inv_>10Mb	0.001087986	0.017726522	0.293316071	0.000339511	0.004623234	0.000175873	0.013525269	5.78E-20	4.85E-20	5.71E-20	0.002438643	2.72E-13	8.65E-20	4.44E-20	6.97E-20	3.86E-20	0.045716831	1.87E-19	6.82E-20	0.022502288	1.54E-19
clustered_trans	0.001425173	0.602520197	0.001599834	2.14E-16	6.75E-20	0.00136009	3.72E-15	0.000644818	4.85E-20	5.71E-20	0.008880482	6.32E-15	8.65E-20	4.44E-20	0.004223818	3.86E-20	0.090761356	0.040143755	0.224501881	0.120005778	1.54E-19
non-clustered_del_1-10Kb	0.024635663	0.00230427	0.012914656	0.01611709	0.092329998	0.313324362	0.003390027	0.007930462	0.044165765	0.676795557	0.066757214	0.006116676	0.023705382	1.95E-07	0.002691732	3.86E-20	6.45E-15	0.072916925	3.43E-18	3.00E-20	0.03590464
non-clustered_del_10-100Kb	0.006976516	0.007288048	0.006962496	0.020776412	0.258219648	0.199075902	0.009811587	0.003448516	0.02156268	0.082627664	0.094730346	0.018038974	0.01312107	4.44E-20	9.86E-05	0.173696617	0.076714671	1.22E-14	6.89E-08	1.24E-07	0.029523751
non-clustered_del_100Kb-1Mb	0.04145224	0.007261394	0.011918882	0.024913019	0.316512379	0.119782281	0.022835936	0.006277033	0.00998889	0.011538338	0.120208498	0.021951643	1.13E-19	0.087088581	6.97E-20	0.100202681	0.07112502	1.87E-19	0.002695761	0.034801356	0.045766898
non-clustered_del_1Mb-10Mb	0.047485323	0.009922924	0.014222503	0.003973143	0.034259773	0.014098026	0.017938058	0.005066261	0.001315914	0.011808653	0.043144691	0.10822179	0.017034911	5.98E-11	0.013894083	0.111848015	0.001431733	0.019224247	0.017538472	0.012872658	0.026116007
non-clustered_del_>10Mb	0.044340006	0.010893135	0.021585867	0.005238734	0.014359676	0.016985752	0.009202892	0.005196884	0.00408319	0.003683978	0.022242247	0.087184931	6.49E-12	0.044183515	0.012868308	0.105271315	0.003466221	0.02221899	0.009015202	0.00226411	1.54E-19
non-clustered_tds_1-10Kb	0.010324927	0.004264439	0.001915442	0.032361043	0.021452027	0.025026703	0.005293003	0.000914136	0.309349417	0.004992907	0.045066599	0.005667611	8.65E-20	4.44E-20	8.82E-18	3.86E-20	0.019317246	1.87E-19	6.82E-20	5.87E-10	0.001035538
non-clustered_tds_10-100Kb	0.013144642	0.00744408	0.003176208	0.191707605	0.017638704	0.03319246	0.007730273	0.002270871	0.366398539	0.061527312	0.161192728	3.00E-20	0.001264793	4.44E-20	6.97E-20	3.86E-20	0.014783312	0.031380356	6.82E-20	7.24E-07	1.54E-19
non-clustered_tds_100Kb-1Mb	0.020242426	0.001757187	0.004241789	0.45655168	0.004579915	0.007961236	0.005265743	0.022526029	0.019703444	4.06E-18	0.062054949	3.67E-05	7.00E-07	4.44E-20	0.371668344	3.86E-20	0.023463791	0.129703037	4.96E-08	0.158497807	0.008033007
non-clustered_tds_1Mb-10Mb	0.019578621	0.006837159	0.008383241	0.070939314	0.004075974	0.002438118	0.010513858	0.003126904	0.000960934	0.002913765	0.013651884	0.071638141	0.020192052	4.44E-20	0.382786118	0.010507733	0.003929908	0.026879615	6.82E-20	0.057417135	0.012180204
non-clustered_tds_>10Mb	0.03428747	0.006064474	0.017486335	0.005379584	0.007405011	0.00943068	0.005745133	0.008618603	0.005874025	0.003239969	0.005189954	0.092149347	0.003184393	4.51E-14	0.01708062	0.053072726	0.008317606	1.87E-19	0.005068581	0.006760365	1.54E-19
non-clustered_inv_1-10Kb	0.061191256	0.005022447	0.00561462	0.007468987	0.022312097	0.042963809	0.012464874	0.78847501	0.017692353	0.048004129	0.03987043	0.040014288	0.121949217	0.298468886	0.010577045	3.86E-20	0.053686459	0.177609099	0.097062003	0.002370738	0.004116713
non-clustered_inv_10-100Kb	0.025076188	0.003508302	0.001351172	0.0256676	0.025630612	0.033343424	0.014402139	0.068440354	0.0139599	0.01573345	0.025785885	0.022587805	0.028120342	0.058896172	0.01008224	0.024877055	0.032227302	0.072360613	0.052126032	0.032896326	0.00418795
non-clustered_inv_100Kb-1Mb	0.029616307	0.004680941	0.004440492	0.024974677	0.032848889	0.016939142	0.015256914	0.007505938	0.003257709	0.003659538	0.024398589	0.03401032	0.047022334	0.029176883	0.021313227	0.12301715	0.007754328	0.009785024	0.018352526	0.045227997	0.053011694
non-clustered_inv_1Mb-10Mb	0.054681478	0.008241426	0.017372184	0.003550415	0.022989516	0.006786365	0.042939546	0.006524713	0.003674957	0.004443362	0.030422068	0.199400833	0.035372724	0.010851815	0.025954578	0.126286623	0.020998634	8.21E-10	0.012499825	0.007558932	0.022322154
non-clustered_inv_>10Mb	0.075468058	0.015751741	0.039551436	0.014248981	0.017790088	0.022216688	0.006608978	0.002475892	0.014289123	0.011705079	0.060828088	0.189200516	1.16E-11	4.44E-20	0.011729588	0.155596484	1.63E-19	1.87E-19	0.003303224	0.027924116	0.005779666
non-clustered_trans	0.473824406	0.091673551	0.007178986	0.0595312	0.03541141	0.104807446	0.012268036	0.047472275	0.150356741	0.045949403	0.102792228	0.059428571	0.000318275	4.44E-20	0.101720802	3.86E-20	0.072600325	0.182597616	0.258050002	0.127031468	1.54E-19